,0,1,2,3,4,5,6
33,328,下梅林二街,从下梅林一街到梅山街,114.03499599999999,22.564703,22.560791000000002,114.0356
34,358,商报东路,从莲花路到景田北三街,114.04831999999999,22.55864,22.554106,114.04567
35,364,深南大道,从宝安大道到深南皇岗立交,113.91872,22.540138,22.540764000000003,114.07548500000001
36,372,侨香路,从香梅路到北环侨香立交,114.03451499999998,22.55467,22.553835,113.97196000000001
37,397,梅山街,从梅山街西口到梅林路,114.03015,22.56372,22.565160000000002,114.03837
38,398,欣园路,从景田北三街到景田北二街,114.03963999999999,22.555826,22.556334,114.0402
39,407,广夏路,从凯丰路到中康路,114.06371000000001,22.565685000000002,22.567577,114.0592
40,420,景田北一街,从景田东路到景田北二街,114.04368000000001,22.553276,22.556614,114.03741000000001
41,432,鹏程三路,从红荔路到福中路,114.05816999999999,22.544716,22.548448999999998,114.05815
42,439,下梅林一街,从香梅路到梅林路,114.02971000000001,22.56157,22.559551000000003,114.038025
43,445,梅秀路,从梅林路到北环大道,114.047325,22.562168,22.567848,114.04885
44,471,福华四路,从中心二路到滨河益田立交,114.05518000000001,22.530506,22.53067,114.05639
45,481,石厦大道,从石厦北七街到滨河大道,114.0536,22.52835,22.526258,114.053215
46,485,红荔路,从新洲路到民田路,114.049255,22.54816,22.547829999999998,114.05293999999999
47,486,石厦北三街,从石厦北八街到福民路,114.05463400000001,22.523058,22.527231,114.0547
48,491,商报路,从商报东路到香梅路,114.04871000000001,22.548000000000002,22.550724,114.03898999999998
49,503,中心五路,从福华三路到滨河金田立交,114.06111999999999,22.528671,22.532604,114.06338000000001
50,529,景田南路,从景田东路到香梅路,114.04656999999999,22.543089000000002,22.54383,114.040016
51,532,宏威路,从莲花路到北环大道,114.059395,22.56185,22.559568,114.05941000000001
52,535,新沙路,从新洲路到滨河大道,114.04905,22.528010000000002,22.531898,114.04155
53,548,福华三路,从滨河大道到中心四路,114.05861999999999,22.532574,22.529529999999998,114.05854
54,550,梅华路,从新洲路到凯丰路,114.04413999999998,22.566426999999997,22.562986,114.06371000000001
55,585,鹏程三路,从福中路到红荔路,114.05847,22.548448999999998,22.544724,114.0583
56,591,商报东路,从莲花路到红荔西路,114.04834,22.547836,22.553728,114.0487
57,603,彩田路,从梅观高速出入口到滨河彩田立交,114.063324,22.527027,22.575617,114.06811499999999
58,612,景田东路,从莲花路到红荔西路,114.045746,22.547279999999997,22.55351,114.04658500000001
59,617,越华路,从梅林路到越华路南口,114.06533,22.565493,22.568378,114.06538400000001
60,620,鹏程一路,从深南大道到福中路,114.05191,22.544493,22.540461999999998,114.05183999999998
61,636,凯丰路,从梅坳八路到北环大道,114.0637,22.56429,22.573124,114.063576
62,642,石厦北一街,从福民路到滨河大道辅道,114.051994,22.52831,22.523014,114.051895
63,647,景田北七街,从北环大道到景田北街,114.0322,22.554764000000002,22.558014,114.03538999999999
64,652,景田北五街,从景田北街到景田北七街,114.037346,22.555622,22.556747,114.03438999999999
65,661,新洲一街,从新洲九街到滨河大道,114.04807,22.528170000000003,22.524672,114.0471
66,662,景田北三街,从景田西路到新洲路,114.03715,22.558947,22.555014,114.04635
67,671,北环大道辅路,从北环彩田立交到北环香蜜立交,114.06591,22.5574,22.565422,114.01926399999999
68,676,梅中路,从泰科路到梅华路,114.04675,22.563978,22.562813000000002,114.04616000000001
69,682,梅中路,从梅华路到泰科路,114.046135,22.5628,22.563969,114.04673000000001
70,690,新洲十一街,从新洲五街到牌坊街,114.04016000000001,22.527061,22.526373,114.04598999999999
71,695,鹏程一路,从红荔路到福中路,114.05175,22.544604999999997,22.548054,114.05181
72,696,泰然四路,从泰然一路到泰然九路,114.03315,22.533209,22.534746,114.02443000000001
73,699,新洲二街,从新洲十一街到福强路,114.045425,22.519333,22.52696,114.04539
74,707,石厦北一街,从滨河大道辅道到福民路,114.05186499999999,22.523014,22.52831,114.05196000000001
75,716,奥士达路,从凯丰路到中康路,114.063736,22.563631,22.565298000000002,114.05923500000002
76,721,莲花支路,从莲花路到彩田路,114.0632,22.559725,22.559668,114.06752
77,736,福强路,从车公庙立交到滨河彩田立交,114.03403,22.527014,22.525373000000002,114.06828
78,749,商报东路,从景田北三街到莲花路,114.04563999999999,22.554022,22.558626,114.04808
79,751,新洲二街,从福强路到新洲十一街,114.04541,22.526964000000003,22.51932,114.045456
80,761,广夏路,从中康路到凯丰路,114.0592,22.567577,22.565685000000002,114.06371000000001
81,792,景田南路,从香梅路到景田东路,114.040016,22.5438,22.543062,114.04658
82,800,福华四路,从新洲路到民田路,114.04972,22.530596,22.530458,114.05309
83,808,沙嘴路,从滨河大道到金地一路,114.03846999999999,22.521156,22.527124,114.036125
84,815,商报东路,从红荔西路到莲花路,114.048874,22.553741,22.547876000000002,114.0485
85,818,新洲路,从梅丽路到福荣路,114.04391499999998,22.512894,22.562986,114.04348999999999
86,819,梅林路,从梅观路到北环大道,114.07257,22.559858,22.56853,114.03764
87,821,新洲路,从福荣路到梅丽路,114.04348999999999,22.563137,22.512894,114.04373000000001
88,839,新沙路,从滨河大道到新洲路,114.04196,22.531872,22.528053,114.04906499999998
89,845,景田东路,从红荔西路到莲花路,114.04661599999999,22.553520000000002,22.547285000000002,114.04578000000001
90,859,中心四路,从福华三路到福华一路,114.05854,22.536821,22.532574,114.05847
91,862,皇岗路,从北环皇岗立交桥到Ｇ４京港澳高速,114.0726,22.513613,22.565094000000002,114.063286
92,864,景田东路,从红荔西路到新闻路,114.046555,22.541635999999997,22.547145999999998,114.04711999999999
93,869,梅星路,从梅秀路到梅村路,114.04803500000001,22.566969,22.565716000000002,114.05391000000002
94,870,梅秀路,从北环大道到梅林路,114.049545,22.567854,22.562382,114.04738600000002
95,878,福港路,从滨河彩田立交到国花路,114.06828,22.51748,22.526999999999997,114.06723000000001
96,896,景田北四街,从景田北二街到景田北街,114.037674,22.555107,22.553484,114.03573600000001
97,899,侨香路,从北环侨香立交到香梅路,113.97781,22.553835,22.552107,114.03451499999998
98,914,海田路,从深南彩田立交桥到福华路,114.063446,22.534773,22.539848000000003,114.06553000000001
99,919,景田南四街,从景田路到商报东路,114.04496,22.5456,22.545618,114.0488
100,938,景田南三街,从新洲路到景田东路,114.0493,22.544352,22.544645000000003,114.04658
101,942,鹏程二路,从福中路到福中一路,114.05496000000001,22.546648,22.544653,114.05493
102,944,沙嘴路,从金地一路到滨河大道,114.036224,22.527205,22.521097,114.03927
103,964,鹏程一路,从福中路到红荔路,114.05183999999998,22.548054,22.544604999999997,114.05179
104,1000,新洲十一街,从牌坊街到新洲五街,114.04598999999999,22.526405,22.527088,114.04016000000001
105,1010,新景街,从景田东路到景田路,114.046524,22.549107,22.549213,114.04485
106,1016,福华五路,从彩田路到金田路,114.06806999999999,22.530867,22.530983,114.06336
107,1034,景田北二街,从欣园路到香梅路,114.0402,22.552367999999998,22.55585,114.036446
108,1052,北环大道辅路,从北环香蜜立交到北环彩田立交,114.017845,22.56328,22.556396,114.06368
109,1053,莲花路,从香梅路到莲花立交,114.03849,22.555248000000002,22.55065,114.06929
110,1064,宏威路,从北环大道到莲花路,114.05913000000001,22.559573999999998,22.561795999999998,114.05932
111,1073,福中三路,从彩田路到深南新洲立交桥,114.06783,22.542929,22.543457,114.0495
112,1080,莲花支路,从莲花路到彩田路,114.063736,22.559725,22.559670999999998,114.06752
113,1088,莲心路,从皇岗路到彩田路,114.07287,22.552147,22.552254,114.06779499999999
114,1093,侨香路,从香梅路到北环侨香立交,114.033745,22.55467,22.553724,113.97196000000001
115,1099,民田路,从深南益田立交到红荔路,114.05292,22.54816,22.540466000000002,114.05293999999999
116,1106,景田北街,从香梅路到景田路,114.03452,22.558151000000002,22.553827,114.038734
117,1114,红荔路,从益田路到新洲路,114.05606999999999,22.547956,22.548573,114.04925
118,1129,雨田路,从莲花路到北环大道,114.05508999999999,22.561795999999998,22.559063000000002,114.05436999999999
119,1133,福华四路,从民田路到新洲路,114.05309,22.530804,22.53068,114.04972
120,1141,鹏程四路,从福中路到红荔路,114.06100500000001,22.548492,22.544756,114.06100500000001
121,1152,石厦大道,从滨河大道到石厦北七街,114.05318999999999,22.526232,22.52835,114.0536
122,1155,景田西路,从莲花路到红荔西路,114.03991,22.545956,22.551893,114.04156
123,1156,莲花路,从莲花立交到香梅路,114.06566000000001,22.550729999999998,22.55729,114.03844
124,1162,金田路,从红荔路到福强路,114.0629,22.51844,22.548702,114.06606000000001
125,1179,滨河大道,从滨河宝安立交到竹子林立交,114.11046999999999,22.526964000000003,22.534765,114.01426000000001
126,1181,福强路,从车公庙立交到滨河彩田立交,114.03021000000001,22.527014,22.52979,114.06828
127,1183,欣园路,从景田北一街到景田北二街,114.04113999999998,22.55585,22.554956,114.04021499999999
128,1191,商报东路,从新闻路到红荔西路,114.04888999999999,22.547697,22.541899,114.04883600000001
129,1198,香蜜湖路,从车公庙立交到北环香蜜立交,114.03027,22.559223,22.529954999999998,114.01966000000002
130,1223,中心一路,从民田路到中心一路东口,114.0531,22.533839999999998,22.529510000000002,114.05293999999999
131,1230,福中一路,从彩田路到海田路,114.06794,22.536934,22.537031,114.0656
132,1236,景田东路,从莲花路到景田北三街,114.04555,22.558538000000002,22.553654,114.04253
133,1261,新洲十一街,从新洲一街到新洲九街,114.04728999999999,22.52501,22.527178,114.04951499999999
134,1266,福中路,从新洲路到皇岗路,114.04987,22.544884,22.544439999999998,114.07296000000001
135,1285,新景街,从景田路到景田东路,114.04485,22.549183,22.54908,114.046524
136,1288,福华三路,从彩田路到新洲路,114.06818,22.532898,22.532871,114.04968999999998
137,1306,海田路,从福华三路到深南彩田立交桥,114.06568,22.539920000000002,22.532845000000002,114.06683999999998
138,1309,梅华路,从梅丽路到北环大道,114.04156,22.5604,22.563044,114.04066
139,1315,石厦北八街,从益田路到石厦大道,114.05566,22.527207999999998,22.527254,114.05321
140,1320,香梅路,从深南大道到下梅林一街,114.04085500000001,22.559551000000003,22.538645000000002,114.02971000000001
141,1322,益田路,从红荔路到红花路,114.05606999999999,22.508129999999998,22.548573,114.05665
142,1339,鹏程二路,从福中路到深南益田立交,114.054924,22.540497,22.544538,114.05497
143,1342,香梅路,从下梅林一街到深南大道,114.02975500000001,22.538635,22.559782000000002,114.0408
144,1352,福华三路,从滨河大道到中心四路,114.06081999999999,22.532574,22.529026,114.05854
145,1356,香梅路,从下梅林一街到深南大道,114.02965,22.538635,22.559542,114.0408
146,1360,福中路,从皇岗路到新洲路,114.07296000000001,22.544565,22.544970000000003,114.04946000000001
147,1365,鹏程四路,从红荔路到福中路,114.06074,22.544756,22.548492,114.06085
148,1367,景田南六街,从红荔西路到景田南路,114.04216000000001,22.543573000000002,22.545992000000002,114.04295
149,1388,鹏程一路,从福中路到深南大道,114.0518,22.540461999999998,22.544493,114.05188999999999
150,1392,景田西路,从景田北五街到莲花路,114.03533999999999,22.552134,22.556538,114.04018
151,1393,石厦北八街,从石厦大道到益田路,114.05321,22.527222000000002,22.527178,114.05564
152,1395,雨田路,从北环大道到莲花路,114.05393000000001,22.559017,22.561826999999997,114.05503
153,1403,福港路,从国花路到滨河彩田立交,114.06725,22.52703,22.517462,114.06828
154,1412,梅山街,从梅林路到梅山街西口,114.03838999999999,22.565186999999998,22.563782,114.03016000000001
155,1414,梅丽路,从新洲路到梅丽路北口,114.04373000000001,22.568916,22.563137,114.0373
156,1423,商报路,从香梅路到商报东路,114.039,22.550694,22.547977,114.04871000000001
157,1424,海田路,从深南彩田立交桥到红荔路,114.06745,22.548555,22.540186,114.06541000000001
158,1430,莲花支路,从彩田路到莲花路,114.06752,22.559711,22.559849,114.06315
159,1436,红荔西路,从新洲路到农林路,114.04925,22.540115,22.547956,114.01718999999999
160,1442,鹏程二路,从深南益田立交到福中路,114.05501000000001,22.544542,22.540497,114.054955
161,1445,景田东一街,从景田东路到景田路,114.04446399999999,22.554373000000002,22.555422,114.04263999999999
162,1447,梅华路,从北环大道到梅丽路,114.04113999999998,22.56288,22.560484,114.04198000000001
163,1451,宏威路,从莲花路到北环大道,114.05938,22.56185,22.560152,114.05941000000001
164,1462,牌坊街,从滨河大道到新洲九街,114.04585,22.524382,22.527932999999997,114.04661599999999
165,1514,奥士达路,从中康路到凯丰路,114.05923500000002,22.565271,22.563604,114.06374
166,1516,景田西路,从莲花路到景田北五街,114.03996000000001,22.556555,22.552426999999998,114.03536000000001
167,1522,金田路,从福强路到红荔路,114.066154,22.548706,22.518484,114.06302
168,1541,福华三路,从新洲路到彩田路,114.0497,22.532768,22.532059,114.06818
169,1542,梅丽路,从梅丽路北口到新洲路,114.03728000000001,22.562986,22.568897,114.04391499999998
170,1573,景田北二街,从香梅路到欣园路,114.03646,22.555826,22.552351,114.04021499999999
171,1599,侨香路,从北环侨香立交到香梅路,113.97567,22.553835,22.553915,114.03451499999998
172,1603,新洲一街,从滨河大道到新洲九街,114.04686000000001,22.524662,22.528137,114.04803500000001
173,1609,景田北五街,从景田北七街到景田北街,114.03442,22.556725,22.5556,114.03731499999999
174,1623,商报东路,从红荔西路到新闻路,114.04866000000001,22.541899,22.547653,114.04886
175,1625,景田北街,从景田路到香梅路,114.03871000000001,22.553844,22.558173999999998,114.03451000000001
176,1638,海田路,从红荔路到深南彩田立交桥,114.06534599999999,22.540101999999997,22.548555,114.0643
177,1651,益田路,从红花路到红荔路,114.05686999999999,22.548582,22.50816,114.0562
178,1657,越华路,从越华路南口到梅林路,114.06541399999999,22.568378,22.565493,114.06537
179,1658,福华四路,从滨河益田立交到中心二路,114.05638,22.530743,22.53099,114.05516999999999
180,1659,下梅林二街,从梅山街到下梅林一街,114.0356,22.560768,22.564703,114.034935
181,1667,景田北七街,从景田北街到北环大道,114.03542,22.558022,22.554787,114.032234
182,1672,莲花路,从莲花立交到香梅路,114.06837,22.550729999999998,22.555485,114.03844
183,1689,民田路,从红荔路到深南益田立交,114.052444,22.540461999999998,22.54812,114.05283999999999
184,1714,笋岗西路,从红岭北路到莲花立交,114.10436999999999,22.555485,22.55595,114.06837
185,1716,景田西路,从红荔西路到莲花路,114.04158000000001,22.552143,22.54596,114.04018400000001
186,1719,泰科路,从梅华路到梅秀路,114.04505,22.563617999999998,22.563457,114.048744
187,1721,梅中路,从梅华路到梅林路,114.04636399999998,22.567059,22.563986,114.04518999999999
188,1742,莲心路,从彩田路到皇岗路,114.0678,22.551565,22.551560000000002,114.07288
